
CR 0: IF middle-middle-square = {x} THEN class = positive (p=366, n=92, P=626, N=332)

CR 1: IF top-left-square = {x} THEN class = positive (p=295, n=123, P=626, N=332)

CR 2: IF top-right-square = {x} THEN class = positive (p=295, n=123, P=626, N=332)

CR 3: IF middle-middle-square = {o} AND top-left-square = {o} AND bottom-right-square = {o} THEN class = negative (p=50, n=0, P=332, N=626)

CR 4: IF middle-middle-square = {o} AND top-right-square = {o} AND bottom-left-square = {o} THEN class = negative (p=50, n=0, P=332, N=626)

CR 5: IF middle-middle-square = {o} THEN class = negative (p=192, n=148, P=332, N=626)

CR 6: IF top-left-square = {o} AND top-right-square = {o} AND top-middle-square = {o} THEN class = negative (p=36, n=0, P=332, N=626)

CR 7: IF top-left-square = {o} AND bottom-left-square = {o} AND middle-left-square = {o} THEN class = negative (p=36, n=0, P=332, N=626)

CR 8: IF top-right-square = {o} AND bottom-right-square = {o} AND middle-right-square = {o} THEN class = negative (p=36, n=0, P=332, N=626)

CR 9: IF bottom-left-square = {o} AND bottom-right-square = {o} AND bottom-middle-square = {o} THEN class = negative (p=36, n=0, P=332, N=626)
